#nodes: 76	edges: 91
Racunalni_sustav	Temeljna_funkcija_racunala
Temeljna_funkcija_racunala	Unos_podataka
Temeljna_funkcija_racunala	Obrada_podataka
Obrada_podataka	Pohrana_podataka
Obrada_podataka	Upravljanje_podataka
Temeljna_funkcija_racunala	Prikazivanje_podataka
Racunalni_sustav	Programska_podrska
Programska_podrska	Sistemska_programska_podrska
Sistemska_programska_podrska	Operacijski_sustav
Operacijski_sustav	Unix
Operacijski_sustav	DOS
Operacijski_sustav	Windows
Sistemska_programska_podrska	Jezicni_prevoditelji
Jezicni_prevoditelji	Interpretator
Jezicni_prevoditelji	Kompilator
Jezicni_prevoditelji	Programski_jezik_visoke_razine
Programski_jezik_visoke_razine	Basic
Programski_jezik_visoke_razine	Fortran
Programski_jezik_visoke_razine	C
Programski_jezik_visoke_razine	Pascal
Sistemska_programska_podrska	Usluzni_programi
Programska_podrska	Aplikacijska_programska_podrska
Racunalni_sustav	Tehnicka_podrska
Tehnicka_podrska	Memorija
Memorija	Radna_memorija
Radna_memorija	ROM
Radna_memorija	RAM
Memorija	Masovna_memorija
Masovna_memorija	Tvrdi_disk
Masovna_memorija	Kompaktni_disk
Masovna_memorija	Disketa
Memorija	Pohrana_podataka
Tehnicka_podrska	Uredjaj_za_komunikaciju
Uredjaj_za_komunikaciju	Modem
Modem	Serijski_prijenos_podataka
Uredjaj_za_komunikaciju	Prijenos_podataka
Prijenos_podataka	Serijski_prijenos_podataka
Prijenos_podataka	Paralelni_prijenos_podataka
Uredjaj_za_komunikaciju	Mrezna_kartica
Tehnicka_podrska	Ulazna_jedinica
Ulazna_jedinica	Unos_podataka
Ulazna_jedinica	Tipkovnica
Ulazna_jedinica	Mis
Tehnicka_podrska	Izlazna_jedinica
Izlazna_jedinica	stampac
Izlazna_jedinica	Monitor
Izlazna_jedinica	Prikazivanje_podataka
Tehnicka_podrska	Centralna_jedinica
Centralna_jedinica	Racunalo
Racunalo	Centralna_procesorska_jedinica
Centralna_procesorska_jedinica	Upravljacka_jedinica
Upravljacka_jedinica	Instrukcija
Instrukcija	Podatak
Podatak	Informacija
Informacija	Znacenje
Instrukcija	Operacija
Operacija	Aritmeticka_operacija
Aritmeticka_operacija	Zbrajanje
Aritmeticka_operacija	Oduzimanje
Operacija	Logicka_operacija
Logicka_operacija	Negacija
Logicka_operacija	Disjunkcija
Logicka_operacija	Konjukcija
Centralna_procesorska_jedinica	Aritmetickologicka_jedinica
Aritmetickologicka_jedinica	Aritmeticka_operacija
Aritmetickologicka_jedinica	Logicka_operacija
Racunalo	Radna_memorija
Centralna_jedinica	Masovna_memorija
Model_racunalnog_sustava	Izlazna_jedinica
Model_racunalnog_sustava	Ulazna_jedinica
Model_racunalnog_sustava	Centralna_jedinica
Programski_jezik	Programski_jezik_visoke_razine
Programski_jezik	Programski_jezik_niske_razine
Programski_jezik_niske_razine	Asembler
Logicki_sklop	NE_sklop
NE_sklop	Negacija
Logicki_sklop	Logicka_operacija
Logicki_sklop	ILI_sklop
ILI_sklop	Disjunkcija
Logicki_sklop	NILI_sklop
NILI_sklop	Negacija
NILI_sklop	Disjunkcija
Logicki_sklop	I_sklop
I_sklop	Konjukcija
Logicki_sklop	NI_sklop
NI_sklop	Konjukcija
NI_sklop	Negacija
Brojevni_sustav	Heksadekadski_brojevni_sustav
Brojevni_sustav	Binarni_brojevni_sustav
Brojevni_sustav	Dekadski_brojevni_sustav
Brojevni_sustav	Oktakni_brojevni_sustav
