ADL model	SCORM (Sharable Content Object Referenc Model)
Administriranje Sudionika	Administrator Sustava
Administriranje Sudionika	Strucnjak Podrucnog Znanja
Administriranje Sudionika	Ucenik
Administriranje Sudionika	Ucitelj
Administriranje Sudionika	Tradicionalno Nacelo Ucenja
Adobe Captivate 5.5	Litmos
Adobe Captivate 5.5	Izradu Kvizova I Igara
AICC model	Assigned units lessons
Aktivnosti	Mogucnosti sustava moodle
Aktivnosti	Profesori
Aktivnosti	Ucenici
Aktivnosti	Osnovne vrste objekata
Alat	Prikupljanje sadržaja za ucenje
Alati Za Oblikovanje Sadržaja	Rapid Intake
Alati Za Oblikovanje Sadržaja	Adobe Captivate 5.5
Alati Za Oblikovanje Sadržaja	Brainshark
Alati Za Oblikovanje Sadržaja	Articultate
Alati Za Oblikovanje Sadržaja	Camtasia Studio 7
Alati Za Oblikovanje Sadržaja	Lectora
Alati Za Oblikovanje Sadržaja	Ucitelj
Alati Za Oblikovanje Sadržaja	Strucnjak Podrucnog Znanja
Alati Za Oblikovanje Sadržaja	Nastavni Objekt
Alati Za Oblikovanje Sadržaja	Programska Aplikacija
Alati Za Oblikovanje Sadržaja	Flash
Alati Za Oblikovanje Sadržaja	Html
Alati Za Prikupljanje Sadržaja	Modul
Alati Za Prikupljanje Sadržaja	Komponente
Alati Za Prikupljanje Sadržaja	Predložak
Animacija	Uspješnije obavljanje vježbi i postizanje boljih rezultata
Aplikacija	Dostava Nastavnih Materijala
Aplikacija	Pracenje
Aplikacija	Izvještavanje
Aplikacija	Dokumentacija
Aplikacija	Administracija
Articulate Presenter	Litmos
Articulate Presenter	Izradu Kvizova I Igara
ASinkroni Nacin Isporuke Isporuke	On-Line Diskusijske Grupe
ASinkroni Nacin Isporuke Isporuke	Komunikacija Putem Elektronicke Pošte.
ASinkroni Nacin Isporuke Isporuke	Tecajevi Isporuceni Putem Interneta
ASinkroni Nacin Isporuke Isporuke	Tecajevi Isporuceni Preko Cd Ili Dvd Medija
Asinkrono ucenje	Elektronicka Pošta
Asinkrono ucenje	Inteligentni Tutorski Sustavi
Asinkrono ucenje	Novinske Grupe
Asinkrono ucenje	Blog
Asinkrono ucenje	Forum & Threaded Discussion
Asinkrono ucenje	Wiki
Asinkrono ucenje	Sudionika U Obrazovnom Sustavu
Asinkrono ucenje	Raspodijeljeno Ucenje
Asinkrono ucenje	Korisnici Aktivni U Razlicito Vrijeme
Asinkrono ucenje	Dobre strane
Asinkrono ucenje	Komponente
Asinkrono ucenje	Mjesto
Asinkrono ucenje	Vrijeme
Asinkrono ucenje	Loše strane
Autor Sadržaja	Strucnjak Podrucnog Znanja
Autor Sadržaja	Ucitelj
Autorski alat	Pospremanje sadržaja za ucenje
Autorski alat	Pretraživanje sadržaja za ucenje
Autorski alat	Oblikovanje sadržaja za ucenje
Autorski alat	Naplativi Alati
Autorski alat	Nenaplativi Alati
Autorski alat	Okruženje
Autorski alat	Alati Za Prikupljanje Sadržaja
Autorski alat	Alati Za Oblikovanje Sadržaja
Autorski alat	Oblikovanje Lista Za Vocenje Diskusija I Rasprava Ucesnika Sustava Za E-Ucenje
Autorski alat	Oblikovanje I Urecivanje On-Line Kvizova
Autorski alat	Oblikovanje Nastavnih Sadržaja
Blog	Dodavanje Multimedije
Blog	Tekst
Blog	Online Dnevnik
Brainshark	WWW
Broadcast & Cable Television	Discovery Channel
Camtasia Studio 7	Litmos
CD-ROM	Isporuka sadržaja
CD-ROM	On-line ucenje
CD-ROM	Individualizirano ucenje
CD-ROM	Interaktivno ucenje
CD-ROM	Hybrid Dics
Chat	Razmjena Poruka
Collaboration & Community	Chat
Collaboration & Community	Im
Daljinsko Ucenje	Racunalna Mreža
Daljinsko Ucenje	Interaktivno
Datoteka	Graficka Datoteka
Datoteka	Tekstualna Datoteka
Datoteka	Zvucna Datoteka
Datoteka	Obrazovni sadržaj
Digitalni oblik	Video
Digitalni oblik	Animacija
Digitalni oblik	Tekst
Digitalni oblik	Slika
Digitalni oblik	Simalacija
Digitalni oblik	Zvuk
dimenzije	korisnicko sucelje
dimenzije	poslovanje
dimenzije	procjenjivanje
dimenzije	tehnologija
dimenzije	institucija
dimenzije	on-line podrška
dimenzije	pedagogija
Diploma	Svjetski Priznata Diploma
Diploma	Nacionalno Priznata Diploma
Direktorij	Obrazovni sadržaj
Direktorij	Datoteka
Diskusija	Blog
Diskusija	Forum
Distance Learning Tehnologija	Broadcast & Cable Television
Distance Learning Tehnologija	Phone Konfrencija
Distance Learning Tehnologija	Video Konfernecija
Dobre strane	Kontrola nad redom ucenja sadržaja
Dobre strane	Proucavanje sadržaja na više nacina
Dobre strane	organizacija i raspored vremena za ucenje
Dobre strane	više vremena za razmišljanje i odgovaranje na pitanja
Dodatni materijal	Kviz
Dodavanje Multimedije	Proces Poucavanja
Dodavanje Multimedije	Proces Ucenja
Dodjela Zadaca	Izrada Zadatka
Dogacaj unutar kolegija	Predaja radova
Dogacaj unutar kolegija	Pocetak pisanja testa
Dogacaji	Grupni dogacaji
Dogacaji	Korisnicka dogacanja
Dogacaji	Globalni dogacaj
Dogacaji	Dogacaj unutar kolegija
Dokument u PDF formatu	Skidanje
Dokument u PDF formatu	Grafike
Društvena Mreža	Facebook
Društvena Mreža	Myspace
Društvena Mreža	Twitter
Društvena Programska Podrška	Mrežnu Platformu
Društvene Oznake	Flickr
DVD	Individualizirano ucenje
DVD	Interaktivno ucenje
DVD	On-line ucenje
Elektronicki Medij	CD-ROM
Elektronicki Medij	DVD
Elektronicki urecaji	Mobiteli
Elektronicki urecaji	PDA
Elektronicki urecaji	Racunala
Elliott Masie	Ucenje
Entitet	Digitalni oblik
